channel,start_position,test_type,group1,group2,f_stat,p_value,mean_diff,p_adj,lower,upper,reject
029,36,T-test (Bonferroni),Cue 12,Control,,0.5947375901800267,0.22435082501506765,1.0,,,False
029,36,T-test (Bonferroni),Cue 13,Control,,0.30283648285066,0.26644893931257574,1.0,,,False
029,36,T-test (Bonferroni),Cue 14,Control,,0.011915642699689439,1.0298808226794498,0.05957821349844719,,,False
029,36,T-test (Bonferroni),Cue 15,Control,,0.4819055996681799,0.44620918843587587,1.0,,,False
030,31,T-test (Bonferroni),Cue 12,Control,,0.01068256964523856,0.8831490415075582,0.0534128482261928,,,False
030,31,T-test (Bonferroni),Cue 13,Control,,0.2586521001316202,0.491586690862144,1.0,,,False
030,31,T-test (Bonferroni),Cue 14,Control,,0.0007992274575877098,1.4570856257063727,0.003996137287938549,,,True
030,31,T-test (Bonferroni),Cue 15,Control,,0.18012550611252418,0.7281092140464067,0.9006275305626209,,,False
030,31,T-test (Bonferroni),Cue 16,Control,,0.0036850818691611625,1.3776963875274135,0.01842540934580581,,,True
030,32,T-test (Bonferroni),Cue 11,Control,,0.2571946368969829,0.5266857156645659,1.0,,,False
030,32,T-test (Bonferroni),Cue 13,Control,,0.5259556763717343,0.22370420060779206,1.0,,,False
030,32,T-test (Bonferroni),Cue 14,Control,,0.007814268183006564,1.1691897355675822,0.03907134091503282,,,True
030,32,T-test (Bonferroni),Cue 15,Control,,0.5348052093900537,0.30876168715901553,1.0,,,False
030,32,T-test (Bonferroni),Cue 16,Control,,0.008892641977162965,0.8198809515911925,0.04446320988581483,,,True
030,33,T-test (Bonferroni),Cue 11,Control,,0.044405526176935245,0.9858308684555694,0.22202763088467622,,,False
030,33,T-test (Bonferroni),Cue 12,Control,,0.14028516458098872,0.6169587141621677,0.7014258229049436,,,False
030,33,T-test (Bonferroni),Cue 14,Control,,0.00019889685017171048,1.7151240956951,0.0009944842508585524,,,True
030,33,T-test (Bonferroni),Cue 15,Control,,0.4910846490236914,-0.2100728777040839,1.0,,,False
030,33,T-test (Bonferroni),Cue 16,Control,,0.017000240404664527,0.8223482912120621,0.08500120202332263,,,False
030,34,T-test (Bonferroni),Cue 11,Control,,0.6809914548686505,0.14729623549440896,1.0,,,False
030,34,T-test (Bonferroni),Cue 12,Control,,0.8008034569742328,-0.07896724744616157,1.0,,,False
030,34,T-test (Bonferroni),Cue 13,Control,,0.20543390740281414,0.5094186212181211,1.0,,,False
030,34,T-test (Bonferroni),Cue 15,Control,,0.02825584905696873,0.6585014587042006,0.14127924528484365,,,False
030,34,T-test (Bonferroni),Cue 16,Control,,0.6698556512991711,0.1990489315375139,1.0,,,False
030,35,T-test (Bonferroni),Cue 11,Control,,0.16404811039020004,0.38408369846071433,0.8202405519510002,,,False
030,35,T-test (Bonferroni),Cue 12,Control,,0.9121905046885761,-0.04584084158809376,1.0,,,False
030,35,T-test (Bonferroni),Cue 13,Control,,0.8900784766755447,0.06294194067476089,1.0,,,False
030,35,T-test (Bonferroni),Cue 14,Control,,0.6592047751746841,-0.20173817044446807,1.0,,,False
030,35,T-test (Bonferroni),Cue 16,Control,,0.06662873114625237,0.6447122442507796,0.3331436557312618,,,False
030,36,T-test (Bonferroni),Cue 11,Control,,0.10609482189216393,0.9005920960089093,0.5304741094608196,,,False
030,36,T-test (Bonferroni),Cue 12,Control,,0.5745815656565564,0.2404928742341288,1.0,,,False
030,36,T-test (Bonferroni),Cue 13,Control,,0.13154838684072778,0.8706400006420725,0.6577419342036389,,,False
